#Sample ID,genomicsSampleID,Site_Name,Year,Month,Site,domainID,plotID,namedLocation,release,plotType,nlcdClass,elevation,soilTemp,soilMoisture,soilInWaterpH,soilInCaClpH,caclpHRatio,d15N,organicd13C,nitrogenPercent,organicCPercent,CNratio,kclAmmoniumNConc,kclNitrateNitriteNConc
BMI_18S_05_0378,MLBS_006-M-20180612-COMP,MLBS_2018-06,2018,6,MLBS,D07,MLBS_006,MLBS_006.basePlot.bgc,RELEASE-2023,distributed,deciduousForest,777,20.66666667,0.173666667,4.613333333,3.696666667,2,4.966666667,-26.33333333,0.083333333,1.046666667,13.13333333,0.262,0.086666667
BMI_18S_05_0379,MLBS_006-O-20180612-COMP,MLBS_2018-06,2018,6,MLBS,D07,MLBS_006,MLBS_006.basePlot.bgc,RELEASE-2023,distributed,deciduousForest,777,20.66666667,0.446666667,4.776666667,3.653333333,4,1.466666667,-28.13333333,0.513333333,11.99666667,21.36666667,0.055,0.083666667
BMI_18S_05_0380,MLBS_007-M-20180612-COMP,MLBS_2018-06,2018,6,MLBS,D07,MLBS_007,MLBS_007.basePlot.bgc,RELEASE-2023,distributed,deciduousForest,806.2,19.5,0.120333333,4.663333333,3.996666667,2,8.033333333,-26.96666667,0.063333333,1.32,20.93333333,0.078666667,0.074333333
BMI_18S_05_0381,MLBS_007-O-20180612-COMP,MLBS_2018-06,2018,6,MLBS,D07,MLBS_007,MLBS_007.basePlot.bgc,RELEASE-2023,distributed,deciduousForest,806.2,19.375,0.63375,4.2575,3.2925,3.95,2.7,-27.9,0.4325,11.555,25.6,0.11875,0.07775
BMI_18S_05_0382,MLBS_061-M-20180612-COMP,MLBS_2018-06,2018,6,MLBS,D07,MLBS_061,MLBS_061.basePlot.bgc,RELEASE-2023,tower,deciduousForest,1169,17.33333333,0.234,4.106666667,3.306666667,2,6.366666667,-26.93333333,0.11,2.283333333,20.4,0.267333333,0.090666667
BMI_18S_05_0383,MLBS_061-O-20180612-COMP,MLBS_2018-06,2018,6,MLBS,D07,MLBS_061,MLBS_061.basePlot.bgc,RELEASE-2023,tower,deciduousForest,1169,17.33333333,1.618333333,4.006666667,2.873333333,3.933333333,2.266666667,-27.6,0.823333333,18.4,21.73333333,0.335,0.072
BMI_18S_05_0384,MLBS_063-M-20180612-COMP,MLBS_2018-06,2018,6,MLBS,D07,MLBS_063,MLBS_063.basePlot.bgc,RELEASE-2023,tower,deciduousForest,1175.7,18.25,0.326,4.62,3.9075,2,6.8,-26.825,0.1125,1.9425,17.55,0.1345,0.0755
BMI_18S_05_0385,MLBS_063-O-20180612-COMP,MLBS_2018-06,2018,6,MLBS,D07,MLBS_063,MLBS_063.basePlot.bgc,RELEASE-2023,tower,deciduousForest,1175.7,18.33333333,0.661333333,4.14,3.033333333,3.966666667,1.633333333,-27.63333333,0.556666667,11.16333333,20.46666667,0.175,0.077
BMI_18S_05_0386,MLBS_064-M-20180612-COMP,MLBS_2018-06,2018,6,MLBS,D07,MLBS_064,MLBS_064.basePlot.bgc,RELEASE-2023,tower,deciduousForest,1179.4,17,0.227,4.566666667,3.866666667,2,7.733333333,-26.36666667,0.103333333,1.743333333,16.73333333,0.295333333,0.085666667
BMI_18S_05_0387,MLBS_064-O-20180612-COMP,MLBS_2018-06,2018,6,MLBS,D07,MLBS_064,MLBS_064.basePlot.bgc,RELEASE-2023,tower,deciduousForest,1179.4,17.125,0.70475,4.1575,3.1775,4,2.075,-27.5,0.4825,9.63,19.85,0.30825,0.091
BMI_18S_05_0388,MLBS_067-M-20180612-COMP,MLBS_2018-06,2018,6,MLBS,D07,MLBS_067,MLBS_067.basePlot.bgc,RELEASE-2023,tower,deciduousForest,1171.6,18,0.363666667,4.516666667,3.783333333,2,6.866666667,-26.83333333,0.163333333,2.896666667,17.96666667,0.356,0.085666667
BMI_18S_05_0389,MLBS_067-O-20180612-COMP,MLBS_2018-06,2018,6,MLBS,D07,MLBS_067,MLBS_067.basePlot.bgc,RELEASE-2023,tower,deciduousForest,1171.6,18,1.493666667,4,3,4,2.166666667,-27.53333333,0.936666667,19.31666667,20.76666667,0.406,0.071333333
BMI_18S_05_0390,HARV_001-M-20180710-COMP,HARV_2018-07,2018,7,HARV,D01,HARV_001,HARV_001.basePlot.bgc,RELEASE-2023,distributed,deciduousForest,190,17.96666667,0.264333333,5.043333333,4.163333333,2,4.966666667,-26.96666667,0.14,2.886666667,20.3,0.101,0.081
BMI_18S_05_0391,HARV_001-O-20180710-COMP,HARV_2018-07,2018,7,HARV,D01,HARV_001,HARV_001.basePlot.bgc,RELEASE-2023,distributed,deciduousForest,190,17.96666667,1.105333333,3.926666667,3.243333333,7.8,0.033333333,-28.36666667,0.996666667,26.02333333,25.93333333,0.310333333,0.099
BMI_18S_05_0392,HARV_002-M-20180711-COMP,HARV_2018-07,2018,7,HARV,D01,HARV_002,HARV_002.basePlot.bgc,RELEASE-2023,distributed,deciduousForest,193.6,19,0.293333333,4.946666667,4.13,2,4,-27.33333333,0.183333333,4.62,25.03333333,0.081333333,0.096333333
BMI_18S_05_0393,HARV_002-O-20180711-COMP,HARV_2018-07,2018,7,HARV,D01,HARV_002,HARV_002.basePlot.bgc,RELEASE-2023,distributed,deciduousForest,193.6,19,0.861,4.11,3.233333333,7.833333333,-0.166666667,-28.46666667,1.12,29.61,26.93333333,0.256,0.099
BMI_18S_05_0394,HARV_004-M-20180710-COMP,HARV_2018-07,2018,7,HARV,D01,HARV_004,HARV_004.basePlot.bgc,RELEASE-2023,distributed,mixedForest,199.7,17.33333333,0.383,5.076666667,4.153333333,2,4.266666667,-26.6,0.27,4.173333333,15.63333333,0.181333333,0.108
BMI_18S_05_0395,HARV_004-O-20180710-COMP,HARV_2018-07,2018,7,HARV,D01,HARV_004,HARV_004.basePlot.bgc,RELEASE-2023,distributed,mixedForest,199.7,17.33333333,0.980333333,4.416666667,3.453333333,8.066666667,-0.166666667,-28.06666667,0.903333333,17.86333333,20.26666667,0.505,0.073666667
BMI_18S_05_0396,HARV_005-M-20180711-COMP,HARV_2018-07,2018,7,HARV,D01,HARV_005,HARV_005.basePlot.bgc,RELEASE-2023,distributed,deciduousForest,189.8,18.1,0.469333333,5.04,4.316666667,2,6.4,-27.26666667,0.17,3.196666667,18.53333333,0.099333333,0.09
BMI_18S_05_0397,HARV_005-O-20180711-COMP,HARV_2018-07,2018,7,HARV,D01,HARV_005,HARV_005.basePlot.bgc,RELEASE-2023,distributed,deciduousForest,189.8,18.1,1.48525,4.335,3.32,8.15,0.075,-28.7,0.975,23.35,24.2,0.08975,0.091
BMI_18S_05_0398,HARV_013-M-20180712-COMP,HARV_2018-07,2018,7,HARV,D01,HARV_013,HARV_013.basePlot.bgc,RELEASE-2023,distributed,evergreenForest,184.6,17.1,0.141333333,4.99,4.12,2,5.266666667,-25.3,0.153333333,2.556666667,16.73333333,0.102666667,0.175333333
BMI_18S_05_0399,HARV_013-O-20180712-COMP,HARV_2018-07,2018,7,HARV,D01,HARV_013,HARV_013.basePlot.bgc,RELEASE-2023,distributed,evergreenForest,184.6,17.1,0.765333333,4.223333333,3.493333333,7.8,0.466666667,-27.53333333,0.986666667,21.54333333,22.16666667,0.399,0.076
BMI_18S_05_0400,HARV_021-M-20180712-COMP,HARV_2018-07,2018,7,HARV,D01,HARV_021,HARV_021.basePlot.bgc,RELEASE-2023,distributed,evergreenForest,175.1,16.025,0.2915,4.6625,3.695,2,1.875,-27.3,0.225,5.7825,25.7,0.06825,0.07875
BMI_18S_05_0401,HARV_021-O-20180712-COMP,HARV_2018-07,2018,7,HARV,D01,HARV_021,HARV_021.basePlot.bgc,RELEASE-2023,distributed,evergreenForest,175.1,16.26666667,1.688666667,3.776666667,2.84,13.3,-1.666666667,-29.13333333,1.503333333,42.15,28.43333333,0.261,0.1
BMI_18S_05_0402,HARV_033-M-20180709-COMP,HARV_2018-07,2018,7,HARV,D01,HARV_033,HARV_033.basePlot.bgc,RELEASE-2023,tower,deciduousForest,358.8,15.5,0.434666667,4.746666667,3.776666667,2,5.1,-27.06666667,0.176666667,3.73,21.3,0.146333333,0.073666667
BMI_18S_05_0403,HARV_033-O-20180709-COMP,HARV_2018-07,2018,7,HARV,D01,HARV_033,HARV_033.basePlot.bgc,RELEASE-2023,tower,deciduousForest,358.8,15.5,2.054666667,3.913333333,2.973333333,7.933333333,1.033333333,-28.13333333,1.293333333,33.09666667,26.46666667,0.198,0.070666667
BMI_18S_05_0404,HARV_034-M-20180709-COMP,HARV_2018-07,2018,7,HARV,D01,HARV_034,HARV_034.basePlot.bgc,RELEASE-2023,tower,evergreenForest,372.1,15.7,0.339333333,4.77,3.823333333,2,5.933333333,-26.1,0.196666667,4.74,24,0.065333333,0.084666667
BMI_18S_05_0405,HARV_034-O-20180709-COMP,HARV_2018-07,2018,7,HARV,D01,HARV_034,HARV_034.basePlot.bgc,RELEASE-2023,tower,evergreenForest,372.1,15.55,1.136,3.665,2.9575,8.025,-0.7,-27.475,1.375,41.4675,30.225,0.19675,0.096
BMI_18S_05_0406,HARV_035-M-20180709-COMP,HARV_2018-07,2018,7,HARV,D01,HARV_035,HARV_035.basePlot.bgc,RELEASE-2023,tower,evergreenForest,365.8,15.66666667,0.363,4.4,3.576666667,2,4,-26.76666667,0.203333333,6.143333333,30.33333333,0.064,0.106666667
BMI_18S_05_0407,HARV_035-O-20180709-COMP,HARV_2018-07,2018,7,HARV,D01,HARV_035,HARV_035.basePlot.bgc,RELEASE-2023,tower,evergreenForest,365.8,15.66666667,1.488,3.63,2.763333333,7.833333333,-0.933333333,-27.86666667,1.11,35.66333333,32.26666667,0.224,0.123
BMI_18S_05_0408,HARV_037-M-20180710-COMP,HARV_2018-07,2018,7,HARV,D01,HARV_037,HARV_037.basePlot.bgc,RELEASE-2023,tower,evergreenForest,361.9,14.46666667,0.725666667,4.043333333,3.156666667,2,3.233333333,-26.56666667,0.28,8.463333333,30.73333333,0.067666667,0.090666667
BMI_18S_05_0410,LAJA_001-M-20171128-COMP,LAJA_2017-11,2017,11,LAJA,D04,LAJA_001,LAJA_001.basePlot.bgc,RELEASE-2023,distributed,grasslandHerbaceous,16.6,23.63333333,0.355,7.043333333,6.44,2,0,0,0,0,0,0,0
BMI_18S_05_0411,LAJA_002-M-20171115-COMP,LAJA_2017-11,2017,11,LAJA,D04,LAJA_002,LAJA_002.basePlot.bgc,RELEASE-2023,distributed,cultivatedCrops,28.7,24.9,0.313333333,6.78,5.943333333,2,0,0,0,0,0,0,0
BMI_18S_05_0413,LAJA_004-M-20171129-COMP,LAJA_2017-11,2017,11,LAJA,D04,LAJA_004,LAJA_004.basePlot.bgc,RELEASE-2023,distributed,pastureHay,12.2,23.86666667,0.383333333,7.2,6.426666667,2,0,0,0,0,0,0,0
BMI_18S_05_0414,LAJA_005-M-20171129-COMP,LAJA_2017-11,2017,11,LAJA,D04,LAJA_005,LAJA_005.basePlot.bgc,RELEASE-2023,distributed,pastureHay,18.1,25.6,0.278333333,6.623333333,5.776666667,2,0,0,0,0,0,0,0
BMI_18S_05_0415,LAJA_015-M-20171128-COMP,LAJA_2017-11,2017,11,LAJA,D04,LAJA_015,LAJA_015.basePlot.bgc,RELEASE-2023,distributed,evergreenForest,24.4,24.36666667,0.197666667,5.646666667,4.806666667,2,0,0,0,0,0,0,0
BMI_18S_05_0417,LAJA_044-M-20171128-COMP,LAJA_2017-11,2017,11,LAJA,D04,LAJA_044,LAJA_044.basePlot.bgc,RELEASE-2023,tower,pastureHay,12.6,21.33333333,0.358333333,7.026666667,6.2,2,0,0,0,0,0,0,0
BMI_18S_05_0418,LAJA_046-M-20171127-COMP,LAJA_2017-11,2017,11,LAJA,D04,LAJA_046,LAJA_046.basePlot.bgc,RELEASE-2023,tower,pastureHay,13.8,25.9,0.289,7.13,6.47,2,0,0,0,0,0,0,0
BMI_18S_05_0419,LAJA_051-M-20171127-COMP,LAJA_2017-11,2017,11,LAJA,D04,LAJA_051,LAJA_051.basePlot.bgc,RELEASE-2023,tower,pastureHay,17.6,28.6,0.320666667,7.273333333,6.83,2,0,0,0,0,0,0,0
BMI_18S_05_0420,UNDE_001-M-20180723-COMP,UNDE_2018-07,2018,7,UNDE,D05,UNDE_001,UNDE_001.basePlot.bgc,RELEASE-2023,distributed,deciduousForest,523.7,14.8,0.201,5.27,4.2,2,0,0,0,0,0,0,0
BMI_18S_05_0421,UNDE_001-O-20180723-COMP,UNDE_2018-07,2018,7,UNDE,D05,UNDE_001,UNDE_001.basePlot.bgc,RELEASE-2023,distributed,deciduousForest,523.7,15.55,3.4615,4.625,3.785,5.95,0,0,0,0,0,0,0
BMI_18S_05_0422,UNDE_002-O-20180724-COMP,UNDE_2018-07,2018,7,UNDE,D05,UNDE_002,UNDE_002.basePlot.bgc,RELEASE-2023,distributed,woodyWetlands,504.4,15.03333333,16.84166667,4.74,3.783333333,16.33333333,0,0,0,0,0,0,0
BMI_18S_05_0423,UNDE_003-M-20180723-COMP,UNDE_2018-07,2018,7,UNDE,D05,UNDE_003,UNDE_003.basePlot.bgc,RELEASE-2023,distributed,woodyWetlands,504.8,16.3,0.21,5.18,4.21,2,0,0,0,0,0,0,0
BMI_18S_05_0424,UNDE_003-O-20180723-COMP,UNDE_2018-07,2018,7,UNDE,D05,UNDE_003,UNDE_003.basePlot.bgc,RELEASE-2023,distributed,woodyWetlands,504.8,15.15,6.129,6.105,5.505,8,0,0,0,0,0,0,0
BMI_18S_05_0425,UNDE_006-M-20180723-COMP,UNDE_2018-07,2018,7,UNDE,D05,UNDE_006,UNDE_006.basePlot.bgc,RELEASE-2023,distributed,deciduousForest,530,15.96666667,0.214666667,5.526666667,4.51,2,0,0,0,0,0,0,0
BMI_18S_05_0426,UNDE_008-M-20180723-COMP,UNDE_2018-07,2018,7,UNDE,D05,UNDE_008,UNDE_008.basePlot.bgc,RELEASE-2023,distributed,mixedForest,514.8,15.03333333,0.255,5.473333333,4.516666667,2,0,0,0,0,0,0,0
BMI_18S_05_0427,UNDE_010-M-20180723-COMP,UNDE_2018-07,2018,7,UNDE,D05,UNDE_010,UNDE_010.basePlot.bgc,RELEASE-2023,distributed,woodyWetlands,512.8,15.3,0.172,5.49,4.46,2,0,0,0,0,0,0,0
BMI_18S_05_0428,UNDE_010-O-20180723-COMP,UNDE_2018-07,2018,7,UNDE,D05,UNDE_010,UNDE_010.basePlot.bgc,RELEASE-2023,distributed,woodyWetlands,512.8,15.7,7.6295,4.74,3.85,8.05,0,0,0,0,0,0,0
BMI_18S_05_0429,UNDE_037-O-20180724-COMP,UNDE_2018-07,2018,7,UNDE,D05,UNDE_037,UNDE_037.basePlot.bgc,RELEASE-2023,tower,mixedForest,524.4,15.36666667,3.376666667,4.22,3.203333333,6.633333333,0,0,0,0,0,0,0
BMI_18S_05_0430,UNDE_038-M-20180726-COMP,UNDE_2018-07,2018,7,UNDE,D05,UNDE_038,UNDE_038.basePlot.bgc,RELEASE-2023,tower,woodyWetlands,505.5,15.8,0.231,4.92,3.87,2,0,0,0,0,0,0,0
BMI_18S_05_0431,UNDE_038-O-20180726-COMP,UNDE_2018-07,2018,7,UNDE,D05,UNDE_038,UNDE_038.basePlot.bgc,RELEASE-2023,tower,woodyWetlands,505.5,15.35,8.467,4.045,2.9,16.1,0,0,0,0,0,0,0
BMI_18S_05_0433,UNDE_044-M-20180724-COMP,UNDE_2018-07,2018,7,UNDE,D05,UNDE_044,UNDE_044.basePlot.bgc,RELEASE-2023,tower,mixedForest,507.4,16,0.241,5.42,4.44,2,0,0,0,0,0,0,0
BMI_18S_05_0434,UNDE_044-O-20180724-COMP,UNDE_2018-07,2018,7,UNDE,D05,UNDE_044,UNDE_044.basePlot.bgc,RELEASE-2023,tower,mixedForest,507.4,13.9,0.987,4.455,3.57,4,0,0,0,0,0,0,0
BMI_18S_05_0435,SRER_001-M-20180801-COMP,SRER_2018-08,2018,8,SRER,D14,SRER_001,SRER_001.basePlot.bgc,RELEASE-2023,distributed,shrubScrub,1172.1,41.13333333,0.033,6.633333333,5.806666667,2,0,0,0,0,0,0,0
BMI_18S_05_0436,SRER_002-M-20180801-COMP,SRER_2018-08,2018,8,SRER,D14,SRER_002,SRER_002.basePlot.bgc,RELEASE-2023,distributed,shrubScrub,1032,44.03333333,0.015666667,6.783333333,5.833333333,2,0,0,0,0,0,0,0
BMI_18S_05_0437,SRER_003-M-20180801-COMP,SRER_2018-08,2018,8,SRER,D14,SRER_003,SRER_003.basePlot.bgc,RELEASE-2023,distributed,shrubScrub,974.5,28.96666667,0.020666667,6.25,5.246666667,2,0,0,0,0,0,0,0
BMI_18S_05_0438,SRER_004-M-20180801-COMP,SRER_2018-08,2018,8,SRER,D14,SRER_004,SRER_004.basePlot.bgc,RELEASE-2023,distributed,shrubScrub,1044.5,30.56666667,0.044666667,9.01,7.573333333,2,0,0,0,0,0,0,0
BMI_18S_05_0439,SRER_005-M-20180801-COMP,SRER_2018-08,2018,8,SRER,D14,SRER_005,SRER_005.basePlot.bgc,RELEASE-2023,distributed,shrubScrub,1261.1,30.26666667,0.041333333,6.903333333,5.643333333,2,0,0,0,0,0,0,0
BMI_18S_05_0441,SRER_043-M-20180801-COMP,SRER_2018-08,2018,8,SRER,D14,SRER_043,SRER_043.basePlot.bgc,RELEASE-2023,tower,shrubScrub,993.4,33.66666667,0.024333333,9.206666667,7.67,2,0,0,0,0,0,0,0
BMI_18S_05_0442,SRER_047-M-20180801-COMP,SRER_2018-08,2018,8,SRER,D14,SRER_047,SRER_047.basePlot.bgc,RELEASE-2023,tower,shrubScrub,990.6,34.46666667,0.019666667,9.113333333,7.693333333,2,0,0,0,0,0,0,0
BMI_18S_05_0444,SRER_053-M-20180801-COMP,SRER_2018-08,2018,8,SRER,D14,SRER_053,SRER_053.basePlot.bgc,RELEASE-2023,tower,shrubScrub,996.7,32.33333333,0.024,9.106666667,7.783333333,2,0,0,0,0,0,0,0
BMI_18S_05_0445,DSNY_001-M-20180822-COMP,DSNY_2018-08,2018,8,DSNY,D03,DSNY_001,DSNY_001.basePlot.bgc,RELEASE-2023,distributed,woodyWetlands,20.7,28,0.258,5.2375,3.4925,2,3.9,-25.7,0.0225,0.63,27.575,0.02725,0.057
BMI_18S_05_0446,DSNY_003-M-20180822-COMP,DSNY_2018-08,2018,8,DSNY,D03,DSNY_003,DSNY_003.basePlot.bgc,RELEASE-2023,distributed,woodyWetlands,18.9,27.33333333,0.272,4.72,3.213333333,2,3.233333333,-25.23333333,0.05,1.473333333,28.46666667,0.052,0.058
BMI_18S_05_0447,DSNY_004-M-20180820-COMP,DSNY_2018-08,2018,8,DSNY,D03,DSNY_004,DSNY_004.basePlot.bgc,RELEASE-2023,distributed,woodyWetlands,18.8,28.66666667,0.297,4.166666667,2.94,2,4.833333333,-25.43333333,0.093333333,3.236666667,37.5,0.035,0.062
BMI_18S_05_0449,DSNY_006-M-20180823-COMP,DSNY_2018-08,2018,8,DSNY,D03,DSNY_006,DSNY_006.basePlot.bgc,RELEASE-2023,distributed,woodyWetlands,18.7,26,0.217333333,5.073333333,3.67,2,1.8,-25,0.02,0.47,26.1,0.030666667,0.052333333
BMI_18S_05_0450,DSNY_009-M-20180823-COMP,DSNY_2018-08,2018,8,DSNY,D03,DSNY_009,DSNY_009.basePlot.bgc,RELEASE-2023,distributed,pastureHay,19,0,0.471333333,4.676666667,3.226666667,2,2.733333333,-19.96666667,0.056666667,1.4,23.83333333,0.042666667,0.051333333
BMI_18S_05_0451,DSNY_041-M-20180820-COMP,DSNY_2018-08,2018,8,DSNY,D03,DSNY_041,DSNY_041.basePlot.bgc,RELEASE-2023,tower,pastureHay,20.5,28.66666667,0.203333333,5.466666667,4.253333333,2,3.333333333,-21.9,0.053333333,1.326666667,24.5,0.050333333,0.065666667
BMI_18S_05_0452,DSNY_042-M-20180820-COMP,DSNY_2018-08,2018,8,DSNY,D03,DSNY_042,DSNY_042.basePlot.bgc,RELEASE-2023,tower,pastureHay,19.8,19.5,0.315,5.225,3.86,2,2.175,-23.45,0.0975,2.4175,21.175,0.0955,0.0575
BMI_18S_05_0453,DSNY_043-M-20180823-COMP,DSNY_2018-08,2018,8,DSNY,D03,DSNY_043,DSNY_043.basePlot.bgc,RELEASE-2023,tower,pastureHay,20.3,24.66666667,0.222666667,5.206666667,3.94,2,2.933333333,-20.76666667,0.043333333,0.88,20.46666667,0.039333333,0.057
BMI_18S_05_0454,DSNY_044-M-20180820-COMP,DSNY_2018-08,2018,8,DSNY,D03,DSNY_044,DSNY_044.basePlot.bgc,RELEASE-2023,tower,pastureHay,20.3,25.33333333,0.319,5.286666667,4.15,2,4.4,-22.4,0.07,1.626666667,21.8,0.041333333,0.072
BMI_18S_05_0455,BONA_001-O-20180920-COMP,BONA_2018-09,2018,9,BONA,D19,BONA_001,BONA_001.basePlot.bgc,RELEASE-2023,distributed,deciduousForest,374.1,7.533333333,1.841666667,4.156666667,3.483333333,16.73333333,0,0,0,0,0,0,0
BMI_18S_05_0456,BONA_002-O-20180920-COMP,BONA_2018-09,2018,9,BONA,D19,BONA_002,BONA_002.basePlot.bgc,RELEASE-2023,distributed,deciduousForest,484.2,6.666666667,2.450666667,4.516666667,3.94,16.46666667,0,0,0,0,0,0,0
BMI_18S_05_0457,BONA_004-O-20180919-COMP,BONA_2018-09,2018,9,BONA,D19,BONA_004,BONA_004.basePlot.bgc,RELEASE-2023,distributed,evergreenForest,668.9,6.166666667,2.770333333,4.01,3.093333333,19.9,0,0,0,0,0,0,0
BMI_18S_05_0458,BONA_006-O-20180928-COMP,BONA_2018-09,2018,9,BONA,D19,BONA_006,BONA_006.basePlot.bgc,RELEASE-2023,distributed,evergreenForest,507,3.833333333,3.336666667,4.233333333,3.553333333,19.4,0,0,0,0,0,0,0
BMI_18S_05_0459,BONA_009-O-20180919-COMP,BONA_2018-09,2018,9,BONA,D19,BONA_009,BONA_009.basePlot.bgc,RELEASE-2023,distributed,shrubScrub,429.6,7.566666667,1.886666667,4.38,3.603333333,17,0,0,0,0,0,0,0
BMI_18S_05_0460,BONA_013-O-20180919-COMP,BONA_2018-09,2018,9,BONA,D19,BONA_013,BONA_013.basePlot.bgc,RELEASE-2023,distributed,mixedForest,540.5,7.2,1.687666667,4.24,3.44,16.26666667,0,0,0,0,0,0,0
BMI_18S_05_0461,BONA_070-O-20180918-COMP,BONA_2018-09,2018,9,BONA,D19,BONA_070,BONA_070.basePlot.bgc,RELEASE-2023,tower,evergreenForest,237.7,2.5,3.901333333,4.356666667,3.423333333,13.06666667,0,0,0,0,0,0,0
BMI_18S_05_0462,BONA_071-O-20180918-COMP,BONA_2018-09,2018,9,BONA,D19,BONA_071,BONA_071.basePlot.bgc,RELEASE-2023,tower,evergreenForest,246.1,2.366666667,3.294666667,4.273333333,3.476666667,19.83333333,0,0,0,0,0,0,0
BMI_18S_05_0463,BONA_080-O-20180918-COMP,BONA_2018-09,2018,9,BONA,D19,BONA_080,BONA_080.basePlot.bgc,RELEASE-2023,tower,evergreenForest,241.8,3.966666667,1.904,4.163333333,3.373333333,20.23333333,0,0,0,0,0,0,0
BMI_18S_05_0464,BONA_084-O-20180918-COMP,BONA_2018-09,2018,9,BONA,D19,BONA_084,BONA_084.basePlot.bgc,RELEASE-2023,tower,deciduousForest,263.5,7.9,1.681333333,5.04,4.44,19.5,0,0,0,0,0,0,0
BMI_18S_05_0465,GUAN_001-M-20180924-COMP,GUAN_2018-09,2018,9,GUAN,D04,GUAN_001,GUAN_001.basePlot.bgc,RELEASE-2023,distributed,evergreenForest,149.5,24.56666667,0.208,7.71,7.276666667,2,3.85,-12.76666667,0.293333333,5.781666667,0,0.369333333,0.380333333
BMI_18S_05_0466,GUAN_002-M-20180924-COMP,GUAN_2018-09,2018,9,GUAN,D04,GUAN_002,GUAN_002.basePlot.bgc,RELEASE-2023,distributed,evergreenForest,86.6,24.53333333,0.282666667,7.65,7.243333333,2.666666667,3.15,-12.93333333,0.691666667,6.32,0,2.032666667,1.901666667
BMI_18S_05_0467,GUAN_003-M-20180925-COMP,GUAN_2018-09,2018,9,GUAN,D04,GUAN_003,GUAN_003.basePlot.bgc,RELEASE-2023,distributed,evergreenForest,181,24.06666667,0.323,7.57,7.256666667,2,3.333333333,-12.83333333,0.985,11.085,0,0.924666667,4.631
BMI_18S_05_0469,GUAN_006-M-20180927-COMP,GUAN_2018-09,2018,9,GUAN,D04,GUAN_006,GUAN_006.basePlot.bgc,RELEASE-2023,distributed,evergreenForest,98.9,25.06666667,0.296,7.403333333,7.14,2,3.066666667,-12.26666667,0.566666667,7.293333333,0,0.717666667,2.812666667
